control_id,framework_code,framework_version,regulator,regulator_name_en,regulator_name_ar,domain_code,domain_name_en,domain_name_ar,subdomain_code,subdomain_name_en,subdomain_name_ar,control_number,title_en,title_ar,requirement_en,requirement_ar,control_type,priority,maturity_level,is_mandatory,official_url
15,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.1,Human Resources,الموارد البشرية,3.3.1-1,Background Screening,الفحص الأمني,Background screening for personnel with sensitive data access.,الفحص الأمني للموظفين ذوي الوصول للبيانات الحساسة.,preventive,high,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
16,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.2,Physical Security,الأمن المادي,3.3.2-1,Physical Security Controls,ضوابط الأمن المادي,"Physical security must protect data centers, branches, ATMs.",حماية مادية لمراكز البيانات والفروع وأجهزة الصراف.,preventive,high,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
17,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.3,Asset Management,إدارة الأصول,3.3.3-1,Asset Inventory,جرد الأصول,Information asset inventory with classification.,جرد أصول المعلومات مع التصنيف.,preventive,high,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
18,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.4,Cyber Security Architecture,بنية الأمن السيبراني,3.3.4-1,Security Architecture,البنية الأمنية,Cyber security architecture must be defined and approved.,البنية الأمنية معتمدة وموثقة.,preventive,critical,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
19,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.5,Identity and Access Management,إدارة الهوية والصلاحيات,3.3.5-1,User Access Lifecycle,دورة حياة وصول المستخدم,User access managed throughout employee lifecycle.,إدارة وصول المستخدم طوال دورة حياة الموظف.,preventive,critical,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
20,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.6,Application Security,أمن التطبيقات,3.3.6-1,Secure Development,التطوير الآمن,Secure development including code review and security testing.,التطوير الآمن مع مراجعة الكود والاختبار.,preventive,high,4,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
21,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.7,Change Management,إدارة التغيير,3.3.7-1,Change Advisory Board,CAB,CAB must approve all production changes including cyber security review.,CAB يعتمد جميع التغييرات الإنتاجية مع مراجعة الأمن السيبراني.,preventive,high,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
22,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.8,Information Cryptography,تشفير المعلومات,3.3.8-1,Encryption Standards,معايير التشفير,Sensitive financial data encrypted at rest and in transit.,تشفير البيانات المالية الحساسة في الراحة والنقل.,preventive,critical,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
23,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.9,Bring Your Own Device,BYOD,3.3.9-1,BYOD Controls,ضوابط BYOD,BYOD policy and controls implemented.,سياسة وضوابط BYOD مطبقة.,preventive,medium,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
24,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.10,Secure Disposal of Information Assets,التخلص الآمن,3.3.10-1,Secure Disposal,التخلص الآمن,Information assets securely disposed with destruction certificates.,التخلص الآمن مع شهادات الإتلاف.,preventive,high,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
25,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.11,Payment Systems,أنظمة الدفع,3.3.11-1,Payment Security,أمن الدفع,Payment systems comply with PCI-DSS and SAMA payment requirements.,أنظمة الدفع تمتثل لـ PCI-DSS ومتطلبات SAMA.,preventive,critical,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
26,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.12,Electronic Banking,المصرفية الإلكترونية,3.3.12-1,E-Banking Security,أمن المصرفية الإلكترونية,E-banking platforms must implement strong customer authentication.,المصرفية الإلكترونية تطبق المصادقة القوية للعملاء.,preventive,critical,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
27,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.13,Customer Data Protection,حماية بيانات العملاء,3.3.13-1,Customer MFA,MFA للعملاء,Multi-factor authentication for all customer-facing services.,MFA لجميع الخدمات المواجهة للعملاء.,preventive,critical,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
28,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.14,Cyber Security Event Management,إدارة أحداث الأمن,3.3.14-1,SIEM 24/7 SOC,SIEM SOC 24/7,SIEM with 24/7 SOC monitoring.,SIEM مع مراقبة SOC على مدار الساعة.,detective,critical,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
29,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.15,Cyber Security Incident Management,إدارة الحوادث,3.3.15-1,SAMA 4-Hour Notification,إشعار SAMA 4 ساعات,Cyber security incidents must be notified to SAMA within 4 hours.,إشعار SAMA بالحوادث خلال 4 ساعات.,corrective,critical,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
30,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.16,Threat Management,إدارة التهديدات,3.3.16-1,Threat Intelligence,استخبارات التهديدات,Threat intelligence subscribed and operationalized.,استخبارات التهديدات مفعلة.,detective,high,4,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
31,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.3,Cyber Security Operations and Technology,عمليات وتقنية الأمن السيبراني,3.3.17,Vulnerability Management,إدارة الثغرات,3.3.17-1,Vulnerability Management Process,عملية إدارة الثغرات,Vulnerability management with regular scanning.,إدارة الثغرات مع الفحص المنتظم.,detective,high,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
32,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.4,Third Party Cyber Security,الأمن السيبراني للأطراف الخارجية,3.4.1,Contract and Vendor Management,إدارة العقود والموردين,3.4.1-1,Vendor Risk Assessment,تقييم مخاطر الموردين,Cyber security risk assessment of vendors before engagement.,تقييم المخاطر السيبرانية للموردين قبل التعاقد.,preventive,high,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
33,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.4,Third Party Cyber Security,الأمن السيبراني للأطراف الخارجية,3.4.1,Contract and Vendor Management,إدارة العقود والموردين,3.4.1-2,Contract Cyber Security,الأمن في العقود,Cyber security requirements in vendor contracts.,متطلبات الأمن السيبراني في عقود الموردين.,preventive,high,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
34,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.4,Third Party Cyber Security,الأمن السيبراني للأطراف الخارجية,3.4.2,Outsourcing,التعهيد,3.4.2-1,SAMA Outsourcing Approval,موافقة SAMA على التعهيد,SAMA approval required for material outsourcing arrangements.,موافقة SAMA على ترتيبات التعهيد الجوهرية.,preventive,critical,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
35,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.4,Third Party Cyber Security,الأمن السيبراني للأطراف الخارجية,3.4.3,Cloud Computing,الحوسبة السحابية,3.4.3-1,Cloud Strategy Aligned with SAMA,استراتيجية السحابة,Cloud strategy aligned with SAMA requirements and NCA CCC.,استراتيجية السحابة متوافقة مع SAMA و NCA CCC.,preventive,high,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
