control_id,framework_code,framework_version,regulator,regulator_name_en,regulator_name_ar,domain_code,domain_name_en,domain_name_ar,subdomain_code,subdomain_name_en,subdomain_name_ar,control_number,title_en,title_ar,requirement_en,requirement_ar,control_type,priority,maturity_level,is_mandatory,official_url
11,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-4,Cybersecurity Roles and Responsibilities,أدوار ومسؤوليات الأمن السيبراني,1-4-2,Roles Review,مراجعة الأدوار,Roles and responsibilities must be reviewed at planned intervals.,يجب مراجعة الأدوار والمسؤوليات على فترات مخططة.,detective,medium,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
12,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-5,Cybersecurity Risk Management,إدارة مخاطر الأمن السيبراني,1-5-1,Risk Methodology,منهجية إدارة المخاطر,"A cybersecurity risk management methodology must be defined, documented and approved.",يجب تعريف وتوثيق واعتماد منهجية إدارة مخاطر الأمن السيبراني.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
13,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-5,Cybersecurity Risk Management,إدارة مخاطر الأمن السيبراني,1-5-2,Risk Assessment,تقييم المخاطر,Cybersecurity risk assessment must be performed at planned intervals and at major changes.,يجب إجراء تقييم مخاطر الأمن السيبراني على فترات مخططة وعند التغييرات الكبرى.,detective,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
14,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-5,Cybersecurity Risk Management,إدارة مخاطر الأمن السيبراني,1-5-3,Risk Treatment,معالجة المخاطر,Cybersecurity risks must be treated through approved risk treatment plans.,يجب معالجة مخاطر الأمن السيبراني من خلال خطط معتمدة لمعالجة المخاطر.,corrective,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
15,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-6,Cybersecurity in Project Management,الأمن السيبراني في إدارة المشاريع,1-6-1,Project Cybersecurity,الأمن السيبراني للمشاريع,Cybersecurity requirements must be integrated into project management methodology.,يجب دمج متطلبات الأمن السيبراني في منهجية إدارة المشاريع.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
16,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-7,Compliance with Standards Laws Regulations,الامتثال للمعايير والأنظمة,1-7-1,Compliance Management,إدارة الامتثال,"Compliance with related cybersecurity laws, regulations, and standards must be ensured.",يجب ضمان الامتثال للقوانين والأنظمة والمعايير ذات الصلة.,detective,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
17,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-8,Periodical Cybersecurity Review and Audit,المراجعة والتدقيق الدوري,1-8-1,Internal Audit,التدقيق الداخلي,Internal cybersecurity audit must be conducted at least annually.,يجب إجراء تدقيق داخلي للأمن السيبراني سنوياً على الأقل.,detective,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
18,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-9,Cybersecurity in Human Resources,الأمن السيبراني في الموارد البشرية,1-9-1,Pre-Employment Screening,الفحص قبل التوظيف,Background screening must be conducted before employment.,يجب إجراء فحص أمني قبل التوظيف.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
19,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-9,Cybersecurity in Human Resources,الأمن السيبراني في الموارد البشرية,1-9-2,Termination Procedures,إجراءات إنهاء الخدمة,Cybersecurity procedures for personnel termination must be defined and implemented.,يجب تعريف وتطبيق إجراءات الأمن السيبراني عند إنهاء خدمة الموظفين.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
20,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-10,Cybersecurity Awareness and Training,التوعية والتدريب,1-10-1,Awareness Program,برنامج التوعية,Cybersecurity awareness program must be established and effectiveness measured.,يجب إنشاء برنامج التوعية بالأمن السيبراني وقياس فاعليته.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
21,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-10,Cybersecurity Awareness and Training,التوعية والتدريب,1-10-2,Specialized Training,التدريب المتخصص,Specialized training for cybersecurity personnel must be provided.,يجب توفير تدريب متخصص لموظفي الأمن السيبراني.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
22,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-1,Asset Management,إدارة الأصول,2-1-1,Asset Management Requirements,متطلبات إدارة الأصول,"Cybersecurity requirements for asset management must be defined, documented and approved.",يجب تعريف وتوثيق واعتماد متطلبات الأمن السيبراني لإدارة الأصول.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
23,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-1,Asset Management,إدارة الأصول,2-1-2,Asset Inventory,جرد الأصول,"An accurate, detailed and up-to-date inventory of all information and technology assets must be maintained (CMDB).",يجب الاحتفاظ بجرد دقيق ومفصل وحديث لجميع أصول المعلومات والتقنية.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
24,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-1,Asset Management,إدارة الأصول,2-1-3,Asset Classification,تصنيف الأصول,Information and technology assets must be classified per CIA criteria and NDMO classification.,يجب تصنيف الأصول وفقاً لمعايير CIA وتصنيف NDMO.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
25,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-1,Asset Management,إدارة الأصول,2-1-4,Asset Owner,مالك الأصول,Each asset must have an identified owner responsible for its protection.,يجب أن يكون لكل أصل مالك محدد مسؤول عن حمايته.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
26,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-2,Identity and Access Management,إدارة الهوية والصلاحيات,2-2-1,IAM Requirements,متطلبات إدارة الهوية والصلاحيات,"Cybersecurity requirements for IAM must be defined, documented and approved.",يجب تعريف وتوثيق واعتماد متطلبات الأمن السيبراني لإدارة الهوية والصلاحيات.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
27,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-2,Identity and Access Management,إدارة الهوية والصلاحيات,2-2-2,User Identification,تعريف المستخدم,Users must be uniquely identified before granting access to assets.,يجب تعريف المستخدمين بشكل فريد قبل منحهم الوصول للأصول.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
28,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-2,Identity and Access Management,إدارة الهوية والصلاحيات,2-2-3,Multi-Factor Authentication,التحقق متعدد العوامل,"MFA must be implemented for remote access, privileged accounts, and sensitive systems.",يجب تطبيق MFA للوصول عن بُعد والحسابات المميزة والأنظمة الحساسة.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
29,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-2,Identity and Access Management,إدارة الهوية والصلاحيات,2-2-4,Privileged Access Management,إدارة الصلاحيات المميزة,PAM solution must manage and monitor privileged access.,يجب إدارة الصلاحيات المميزة ومراقبتها باستخدام حل PAM.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
30,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-2,Identity and Access Management,إدارة الهوية والصلاحيات,2-2-5,Access Review,مراجعة الصلاحيات,User access must be reviewed every 6 months. Privileged access reviewed quarterly.,تتم مراجعة صلاحيات المستخدمين كل 6 أشهر والصلاحيات المميزة ربع سنوياً.,detective,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
31,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-2,Identity and Access Management,إدارة الهوية والصلاحيات,2-2-6,Password Standards,معايير كلمات المرور,"Password complexity, expiration, history, and lockout policies must be enforced.",يجب فرض سياسات كلمات المرور.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
32,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-3,Information System Protection,حماية نظم المعلومات,2-3-1,System Hardening,تقوية الأنظمة,"Information systems must be hardened per approved baselines (CIS, vendor benchmarks).",يجب تقوية نظم المعلومات وفقاً للمعايير المعتمدة.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
33,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-3,Information System Protection,حماية نظم المعلومات,2-3-2,Anti-Malware,مكافحة البرامج الخبيثة,"Anti-malware solutions must be installed, regularly updated and centrally monitored.",يجب تثبيت وتحديث ومراقبة حلول مكافحة البرامج الخبيثة.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
34,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-3,Information System Protection,حماية نظم المعلومات,2-3-3,Patch Management,إدارة التحديثات,"Security patches must be applied within SLAs (Critical: 7 days, High: 30 days).",يجب تطبيق التحديثات الأمنية ضمن مهلات (الحرجة: 7 أيام، العالية: 30 يوماً).,corrective,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
35,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-4,Email Protection,حماية البريد الإلكتروني,2-4-1,Email Security Requirements,متطلبات حماية البريد,"Email security must include SPF, DKIM, DMARC.",حماية البريد تشمل SPF و DKIM و DMARC.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
36,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-4,Email Protection,حماية البريد الإلكتروني,2-4-2,Email Anti-Phishing,مكافحة التصيد,Anti-phishing and anti-spam controls must be deployed.,يجب نشر ضوابط مكافحة التصيد والبريد المزعج.,detective,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
37,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-4,Email Protection,حماية البريد الإلكتروني,2-4-3,Email Archiving,أرشفة البريد,Email must be archived and backed up per retention policy.,يجب أرشفة ونسخ البريد احتياطياً.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
38,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-5,Network Security,أمن الشبكة,2-5-1,Network Segregation,فصل الشبكات,"Production, test and development networks must be segregated using VLANs and firewalls.",يجب فصل شبكات الإنتاج والاختبار والتطوير.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
39,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-5,Network Security,أمن الشبكة,2-5-2,Wireless Security,أمن الشبكات اللاسلكية,Wireless networks must use strong authentication (WPA3) and encryption.,تستخدم الشبكات اللاسلكية مصادقة قوية وتشفير.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
40,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-5,Network Security,أمن الشبكة,2-5-3,DNS Security,أمن DNS,DNS Security/DNS Firewall must be deployed against DNS poisoning.,يجب نشر أمن DNS / جدار حماية DNS.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
41,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-5,Network Security,أمن الشبكة,2-5-4,APT Protection,حماية من APT,Internet browsing channel must be protected against Advanced Persistent Threats.,يجب حماية تصفح الإنترنت ضد APT.,preventive,critical,4,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
42,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-6,Mobile Devices Security,أمن الأجهزة المحمولة,2-6-1,Mobile Device Management,إدارة الأجهزة المحمولة,MDM solution must be implemented for organization-issued devices.,تطبيق حل إدارة الأجهزة المحمولة.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
43,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-6,Mobile Devices Security,أمن الأجهزة المحمولة,2-6-2,BYOD Policy,سياسة BYOD,"BYOD policy must define controls for device loss, theft, termination.",تحدد سياسة BYOD ضوابط فقد الأجهزة وسرقتها وإنهاء الخدمة.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
44,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-7,Data and Information Protection,حماية البيانات والمعلومات,2-7-1,Data Classification (NDMO),تصنيف البيانات,"Data must be classified per NDMO scheme (Top Secret, Secret, Restricted, Public).",تصنيف البيانات وفقاً لمخطط NDMO.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
45,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-7,Data and Information Protection,حماية البيانات والمعلومات,2-7-2,DLP Implementation,منع تسرب البيانات,Data Loss Prevention (DLP) controls must be implemented.,يجب تطبيق ضوابط DLP.,detective,high,4,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
46,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-7,Data and Information Protection,حماية البيانات والمعلومات,2-7-3,Data Disposal,التخلص من البيانات,Data must be securely disposed when no longer needed.,التخلص الآمن من البيانات.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
47,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-8,Cryptography,التشفير,2-8-1,Cryptography Standards,معايير التشفير,"Approved cryptographic standards (AES-256, TLS 1.2+) must be used per NCA standards.",استخدام معايير التشفير المعتمدة (AES-256، TLS 1.2+).,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
48,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-8,Cryptography,التشفير,2-8-2,Key Management,إدارة المفاتيح,Cryptographic keys must be managed throughout their lifecycle.,إدارة دورة حياة مفاتيح التشفير.,preventive,critical,4,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
49,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-9,Backup and Recovery,النسخ الاحتياطي والاسترداد,2-9-1,Backup Strategy (3-2-1),استراتيجية النسخ الاحتياطي,Backup strategy following 3-2-1 rule must be defined.,استراتيجية النسخ الاحتياطي وفقاً لقاعدة 3-2-1.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
50,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-9,Backup and Recovery,النسخ الاحتياطي والاسترداد,2-9-2,Backup Testing,اختبار النسخ الاحتياطي,Backup restoration must be tested at least quarterly.,اختبار استعادة النسخ الاحتياطي ربع سنوياً.,detective,high,4,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
51,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-10,Vulnerability Management,إدارة الثغرات,2-10-1,Vulnerability Scanning,فحص الثغرات,Vulnerability scans must be performed at least monthly.,فحص الثغرات شهرياً على الأقل.,detective,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
52,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-10,Vulnerability Management,إدارة الثغرات,2-10-2,Vulnerability Remediation SLA,معالجة الثغرات,"Vulnerabilities must be remediated based on criticality (Critical: 7 days, High: 30 days).",معالجة الثغرات بناءً على الأهمية.,corrective,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
53,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-11,Penetration Testing,اختبار الاختراق,2-11-1,Annual Pen Test,اختبار الاختراق السنوي,Penetration testing must be conducted at least annually by qualified team.,اختبار الاختراق سنوياً من فريق مؤهل.,detective,high,4,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
54,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-12,Event Logs and Monitoring,سجلات الأحداث والمراقبة,2-12-1,Centralized Logging (SIEM),السجلات المركزية SIEM,"SIEM must collect, correlate and analyze logs from all systems.",SIEM يجمع ويربط ويحلل السجلات.,detective,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
55,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-12,Event Logs and Monitoring,سجلات الأحداث والمراقبة,2-12-2,24/7 SOC Monitoring,المراقبة المستمرة,Critical systems must be monitored 24/7 by SOC.,مراقبة الأنظمة الحرجة 24/7 بواسطة SOC.,detective,critical,4,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
56,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-13,Incident and Threat Management,إدارة الحوادث والتهديدات,2-13-1,Incident Response Plan,خطة الاستجابة للحوادث,"Incident response plan must be defined, tested and approved.",خطة الاستجابة للحوادث معتمدة ومختبرة.,corrective,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
57,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-13,Incident and Threat Management,إدارة الحوادث والتهديدات,2-13-2,Incident Reporting to NCA,الإبلاغ عن الحوادث,Cybersecurity incidents must be reported to NCA per Royal Decree 37140.,الإبلاغ للهيئة الوطنية وفقاً للأمر السامي 37140.,corrective,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
58,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-14,Physical Security,الأمن المادي,2-14-1,Physical Access Control,ضبط الوصول المادي,Physical access to sensitive facilities must be controlled and logged.,ضبط وتسجيل الوصول المادي للمرافق الحساسة.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
