module,owner_service,table,columns,purpose,purpose_source,has_data
admin,tenant-service,langgraph_agent_metrics,30,"Admin -- Langgraph Agent: Metric data points",pattern,yes
admin,tenant-service,management_responses,10,"Admin -- Management: Response records (questionnaire/survey/assessment)",pattern,no
admin,tenant-service,memory_consent_log,8,"Admin -- Memory Consent: Activity/audit log records",pattern,no
admin,tenant-service,message_read_status,3,"Admin -- Message Read: Status state record",pattern,no
admin,tenant-service,metadata_records,9,"Admin -- Metadata Records",name,no
admin,tenant-service,milestone_definitions,13,"Admin -- Milestone: Definition catalog",pattern,no
admin,tenant-service,mode_transition_audit,15,"Admin -- Mode Transition: Audit-trail entries",pattern,no
admin,tenant-service,module_action_definitions,15,"Admin -- Module Action: Definition catalog",pattern,no
admin,tenant-service,module_activation_events,8,"Admin -- Module Activation: Domain event records",pattern,no
admin,tenant-service,module_activation_policies,8,"Admin -- Module Activation Policies",name,yes
admin,tenant-service,module_activation_status,37,"Admin -- Module Activation: Status state record",pattern,yes
admin,tenant-service,module_admin_config,8,"Admin -- Module Admin: Configuration values",pattern,no
admin,tenant-service,module_approval_matrices,12,"Admin -- Approval record (Module Approval Matrices)",token,no
admin,tenant-service,module_approval_matrix,11,"Admin -- RACI/permission matrix (Module Approval Matrix)",token,no
admin,tenant-service,module_approval_policies,10,"Admin -- Approval record (Module Approval Policies)",token,yes
admin,tenant-service,module_audit_config,12,"Admin -- Module Audit: Configuration values",pattern,yes
admin,tenant-service,module_automation_config,10,"Admin -- Module Automation: Configuration values",pattern,yes
admin,tenant-service,module_certifications,20,"Admin -- Module Certifications",name,no
admin,tenant-service,module_code_aliases,4,"Admin -- Module Code Aliases",name,yes
admin,tenant-service,module_contact_points,14,"Admin -- Module Contact Points",name,no
admin,tenant-service,module_dependency_graph,8,"Admin -- Module Dependency Graph",name,yes
admin,tenant-service,module_entitlement_map,11,"Admin -- Module Entitlement Map",name,no
admin,tenant-service,module_entitlements,12,"Admin -- Module Entitlements",name,yes
admin,tenant-service,module_entity_links,10,"Admin -- Module Entity: Cross-table link records",pattern,no
admin,tenant-service,module_event_log,8,"Admin -- Module Event: Activity/audit log records",pattern,no
admin,tenant-service,module_health_checks,7,"Admin -- Module Health Checks",name,no
admin,tenant-service,module_health_status,11,"Admin -- Module Health: Status state record",pattern,yes
admin,tenant-service,module_inbound_events,7,"Admin -- Module Inbound: Domain event records",pattern,yes
admin,tenant-service,module_kickstart_log,9,"Admin -- Module Kickstart: Activity/audit log records",pattern,no
admin,tenant-service,module_lifecycle_definitions,7,"Admin -- Module Lifecycle: Definition catalog",pattern,yes
admin,tenant-service,module_lifecycle_transitions,13,"Admin -- Module Lifecycle Transitions",name,yes
admin,tenant-service,module_maturity_stages,11,"Admin -- Module Maturity Stages",name,no
admin,tenant-service,module_metrics_snapshots,12,"Admin -- Module Metrics: Point-in-time snapshots",pattern,no
admin,tenant-service,module_nav_registration,12,"Admin -- Module Nav Registration",name,no
admin,tenant-service,module_pages,16,"Admin -- Module Pages",name,yes
admin,tenant-service,module_preflight_runs,9,"Admin -- Module Preflight: Execution run records",pattern,no
admin,tenant-service,module_readiness_results,8,"Admin -- Module Readiness Results",name,no
admin,tenant-service,module_readiness_thresholds,12,"Admin -- Module Readiness: Threshold definitions",pattern,no
admin,tenant-service,module_registry,19,"Admin -- Module Registry",name,yes
admin,tenant-service,module_role_team_mappings,10,"Admin -- Module Role Team: Cross-entity mapping",pattern,no
admin,tenant-service,module_runtime_health,9,"Admin -- Module Runtime Health",name,yes
admin,tenant-service,module_settings,5,"Admin -- Module: Configuration values",pattern,no
admin,tenant-service,module_sla_tracking,16,"Admin -- Module Sla Tracking",name,no
admin,tenant-service,module_stale_record_checks,7,"Admin -- Module Stale Record Checks",name,no
admin,tenant-service,module_user_contexts,8,"Admin -- User record (Module User Contexts)",token,no
admin,tenant-service,module_workflow_profiles,9,"Admin -- Module Workflow Profiles",name,yes
admin,tenant-service,module_workflow_registry,59,"Admin -- Module Workflow Registry",name,yes
admin,tenant-service,modules,25,"Admin -- Modules",name,no
admin,tenant-service,pack_certifications,11,"Admin -- Pack Certifications",name,yes
admin,tenant-service,pack_installations,11,"Admin -- Pack Installations",name,no
admin,tenant-service,pack_selection_decisions,12,"Admin -- Decision record (Pack Selection Decisions)",token,no
admin,tenant-service,pack_selection_policies,14,"Admin -- Pack Selection Policies",name,yes
admin,tenant-service,pdpl_consent_records,16,"Admin -- Pdpl Consent Records",name,no
admin,tenant-service,performance_cache,11,"Admin -- Performance: Cached values",pattern,no
admin,tenant-service,permissions,7,"Admin -- Permissions",name,yes
admin,tenant-service,platform_feature_flags,9,"Admin -- Platform Feature Flags",name,no
admin,tenant-service,platform_operation_config,10,"Admin -- Platform Operation: Configuration values",pattern,yes
admin,tenant-service,platform_products,17,"Admin -- Platform Products",name,yes
admin,tenant-service,platform_security_config,14,"Admin -- Platform Security: Configuration values",pattern,yes
admin,tenant-service,procedure_versions,10,"Admin -- Procedure: Versioned record history",pattern,no
admin,tenant-service,profile_completeness_rules,12,"Admin -- Profile Completeness: Rules/policy definitions",pattern,no
admin,tenant-service,profile_completeness_scores,8,"Admin -- Profile Completeness Scores",name,no
admin,tenant-service,rate_limit_config,12,"Admin -- Rate Limit: Configuration values",pattern,no
admin,tenant-service,role_permissions,2,"Admin -- Role: Permission grants",pattern,yes
admin,tenant-service,ropa_entries,23,"Admin -- Ropa Entries",name,no
admin,tenant-service,route_catalog,15,"Admin -- Route Catalog",name,no
admin,tenant-service,runtime_overrides,10,"Admin -- Runtime Overrides",name,no
admin,tenant-service,schema_migrations,6,"Admin -- Schema Migrations",name,yes
admin,tenant-service,search_index_config,8,"Admin -- Search Index: Configuration values",pattern,no
admin,tenant-service,settings,10,"Admin -- Settings",name,no
admin,tenant-service,shadow_comparisons,16,"Admin -- Shadow Comparisons",name,no
admin,tenant-service,shell_config_overrides,8,"Admin -- Shell Config Overrides",name,no
admin,tenant-service,signal_detector_registry,24,"Admin -- Signal Detector Registry",name,yes
admin,tenant-service,supervisory_reviews,9,"Admin -- Supervisory Reviews",name,no
admin,tenant-service,system_health_snapshots,13,"Admin -- System Health: Point-in-time snapshots",pattern,no
admin,tenant-service,task_type_config,4,"Admin -- Task Type: Configuration values",pattern,yes
admin,tenant-service,telemetry_signals,8,"Admin -- Telemetry Signals",name,no
admin,tenant-service,tenant_security_config,9,"Admin -- Tenant Security: Configuration values",pattern,yes
admin,tenant-service,user_access_profiles,9,"Admin -- User record (User Access Profiles)",token,yes
admin,tenant-service,user_preferences_v2,14,"Admin -- User record (User Preferences V2)",token,no
admin,tenant-service,user_profiles_extended,23,"Admin -- User record (User Profiles Extended)",token,no
admin,tenant-service,user_sessions,10,"Admin -- User record (User Sessions)",token,no
admin,tenant-service,webhook_deliveries,9,"Admin -- Webhook Deliveries",name,no
admin,tenant-service,websocket_event_queue,7,"Admin -- Work queue records (Websocket Event Queue)",token,no
admin,tenant-service,workflow_assignments,16,"Admin -- Workflow: Assignment mapping (X to Y)",pattern,no
admin,tenant-service,workflow_profile_transitions,13,"Admin -- Workflow Profile Transitions",name,yes
admin,tenant-service,workflow_sla_policies,13,"Admin -- Workflow Sla Policies",name,no
foundation,tenant-service,access_profiles,8,"Foundation -- Access Profiles",name,yes
foundation,tenant-service,assignment_resolution_log,10,"Foundation -- Assignment Resolution: Activity/audit log records",pattern,no
foundation,tenant-service,business_services_catalog,23,"Foundation -- Business Services Catalog",name,no
foundation,tenant-service,business_units,22,"Foundation -- Business Units",name,no
foundation,tenant-service,committees,6,"Foundation -- Committee record (Committees)",token,no
foundation,tenant-service,delegations,14,"Foundation -- Delegations",name,no
foundation,tenant-service,departments,22,"Foundation -- Department record (Departments)",token,no
foundation,tenant-service,effective_user_modules,6,"Foundation -- User record (Effective User Modules)",token,no
foundation,tenant-service,effective_user_permissions,8,"Foundation -- Effective User: Permission grants",pattern,no
foundation,tenant-service,invitations,10,"Foundation -- Invitations",name,no
foundation,tenant-service,locations,32,"Foundation -- Location record (Locations)",token,no
foundation,tenant-service,member_lifecycle_events,9,"Foundation -- Member Lifecycle: Domain event records",pattern,no
foundation,tenant-service,member_profiles,12,"Foundation -- Member Profiles",name,no
foundation,tenant-service,org_cost_center_assignments,15,"Foundation -- Org Cost Center: Assignment mapping (X to Y)",pattern,no
foundation,tenant-service,org_custom_field_definitions,15,"Foundation -- Org Custom Field: Definition catalog",pattern,no
foundation,tenant-service,org_dimension_values,12,"Foundation -- Org Dimension Values",name,no
foundation,tenant-service,org_dimensions,12,"Foundation -- Org Dimensions",name,yes
foundation,tenant-service,org_hierarchy_edges,10,"Foundation -- Org Hierarchy Edges",name,no
foundation,tenant-service,org_hierarchy_nodes,13,"Foundation -- Org Hierarchy Nodes",name,no
foundation,tenant-service,org_location_assignments,13,"Foundation -- Org Location: Assignment mapping (X to Y)",pattern,no
foundation,tenant-service,org_profile,14,"Foundation -- Org Profile",name,no
foundation,tenant-service,org_unit_role_assignments,14,"Foundation -- Org Unit Role: Assignment mapping (X to Y)",pattern,no
foundation,tenant-service,org_validation_executions,15,"Foundation -- Org Validation Executions",name,no
foundation,tenant-service,org_validation_patterns,11,"Foundation -- Org Validation Patterns",name,no
foundation,tenant-service,org_validation_rules,31,"Foundation -- Org Validation: Rules/policy definitions",pattern,no
foundation,tenant-service,organizations,22,"Foundation -- Organization record (Organizations)",token,no
foundation,tenant-service,positions,13,"Foundation -- Position record (Positions)",token,no
foundation,tenant-service,product_modules,15,"Foundation -- Product Modules",name,yes
foundation,tenant-service,product_overrides,5,"Foundation -- Product Overrides",name,no
foundation,tenant-service,products,11,"Foundation -- Products",name,no
foundation,tenant-service,sections,13,"Foundation -- Sections",name,no
foundation,tenant-service,sector_authority_mapping,7,"Foundation -- Sector Authority: Cross-entity mapping",pattern,no
foundation,tenant-service,teams,23,"Foundation -- Team record (Teams)",token,yes
foundation,tenant-service,tenant_ai_config,9,"Foundation -- Tenant Ai: Configuration values",pattern,no
foundation,tenant-service,tenant_archetypes,7,"Foundation -- Tenant Archetypes",name,yes
foundation,tenant-service,tenant_blueprints,10,"Foundation -- Tenant Blueprints",name,yes
foundation,tenant-service,tenant_config_versions,7,"Foundation -- Tenant Config: Versioned record history",pattern,no
foundation,tenant-service,tenant_domains,11,"Foundation -- Tenant Domains",name,no
foundation,tenant-service,tenant_email_config,20,"Foundation -- Tenant Email: Configuration values",pattern,no
foundation,tenant-service,tenant_module_entitlements,8,"Foundation -- Tenant Module Entitlements",name,yes
foundation,tenant-service,tenant_nav_rules,14,"Foundation -- Tenant Nav: Rules/policy definitions",pattern,no
foundation,tenant-service,tenant_page_overrides,6,"Foundation -- Tenant Page Overrides",name,no
foundation,tenant-service,tenant_quota_config,6,"Foundation -- Tenant Quota: Configuration values",pattern,no
foundation,tenant-service,tenant_settings,11,"Foundation -- Tenant: Configuration values",pattern,yes
foundation,tenant-service,tenant_settings_history,7,"Foundation -- Tenant Settings: Historical change records",pattern,no
foundation,tenant-service,user_lifecycle_events,13,"Foundation -- User Lifecycle: Domain event records",pattern,no
onboarding,onboarding-service,access_review_campaigns,13,"Onboarding -- Campaign record (Access Review Campaigns)",token,no
onboarding,onboarding-service,dashboard_configs,18,"Onboarding -- Dashboard Configs",name,no
onboarding,onboarding-service,governance_committees,6,"Onboarding -- Committee record (Governance Committees)",token,no
onboarding,onboarding-service,governance_context,12,"Onboarding -- Governance Context",name,no
onboarding,onboarding-service,journey_certifications,10,"Onboarding -- Journey Certifications",name,yes
onboarding,onboarding-service,journey_maturity_snapshots,9,"Onboarding -- Journey Maturity: Point-in-time snapshots",pattern,no
onboarding,onboarding-service,journey_milestones,18,"Onboarding -- Journey Milestones",name,no
onboarding,onboarding-service,journey_phases,20,"Onboarding -- Journey Phases",name,no
onboarding,onboarding-service,journey_progress,12,"Onboarding -- Journey Progress",name,no
onboarding,onboarding-service,journey_roadmaps,22,"Onboarding -- Journey Roadmaps",name,no
onboarding,onboarding-service,module_assignments,20,"Onboarding -- Module: Assignment mapping (X to Y)",pattern,no
onboarding,onboarding-service,onboarding_answers,8,"Onboarding -- Onboarding Answers",name,no
onboarding,onboarding-service,onboarding_assessment_drafts,15,"Onboarding -- Onboarding Assessment: Draft records (pre-publish)",pattern,no
onboarding,onboarding-service,onboarding_consensus,9,"Onboarding -- Onboarding Consensus",name,no
onboarding,onboarding-service,onboarding_questions,11,"Onboarding -- Onboarding: Question catalog",pattern,no
onboarding,onboarding-service,onboarding_seed_history,6,"Onboarding -- Onboarding Seed: Historical change records",pattern,no
onboarding,onboarding-service,onboarding_stages,10,"Stage configuration",registry,no
onboarding,onboarding-service,os_playbook_versions,11,"Onboarding -- Os Playbook: Versioned record history",pattern,no
onboarding,onboarding-service,person_profiles,15,"Onboarding -- Person Profiles",name,no
onboarding,onboarding-service,plan_item_instances,12,"Onboarding -- Plan Item Instances",name,no
onboarding,onboarding-service,qiyas_benchmark_profiles,11,"Onboarding -- Qiyas Benchmark Profiles",name,no
onboarding,onboarding-service,qiyas_rating_scales,10,"Onboarding -- Qiyas Rating Scales",name,no
onboarding,onboarding-service,qiyas_scoring_methods,9,"Onboarding -- Qiyas Scoring Methods",name,no
onboarding,onboarding-service,raci_matrices,6,"Onboarding -- Raci Matrices",name,no
onboarding,onboarding-service,regulatory_requirements,17,"Onboarding -- Regulatory Requirements",name,no
onboarding,onboarding-service,risk_appetite_config,13,"Onboarding -- Risk Appetite: Configuration values",pattern,no
onboarding,onboarding-service,risk_tolerance_bands,11,"Onboarding -- Risk record (Risk Tolerance Bands)",token,no
onboarding,onboarding-service,role_profiles,11,"Onboarding -- Role record (Role Profiles)",token,yes
onboarding,onboarding-service,scope_dimensions,6,"Onboarding -- Scope Dimensions",name,no
onboarding,onboarding-service,sla_config,33,"Onboarding -- Sla: Configuration values",pattern,yes
onboarding,onboarding-service,sod_conflict_matrix,13,"Onboarding -- RACI/permission matrix (Sod Conflict Matrix)",token,yes
onboarding,onboarding-service,team_escalation_paths,6,"Onboarding -- Team record (Team Escalation Paths)",token,yes
onboarding,onboarding-service,user_role_assignments,19,"Onboarding -- User Role: Assignment mapping (X to Y)",pattern,no
onboarding,onboarding-service,workspaces,5,"Onboarding -- Workspace record (Workspaces)",token,yes
access,auth-service,access_review_items,14,"Access -- Access Review Items",name,no
action,risk-incident-service,action_class_catalog,10,"Action -- Action Class Catalog",name,yes
action,risk-incident-service,action_escalation_chains,8,"Action -- Action Escalation Chains",name,yes
action,risk-incident-service,action_escalation_config,11,"Action -- Action Escalation: Configuration values",pattern,no
action,risk-incident-service,action_gating_rules,15,"Action -- Action Gating: Rules/policy definitions",pattern,no
action,risk-incident-service,action_item_templates,12,"Action -- Action Item: Template catalog",pattern,no
action,risk-incident-service,action_items,45,"Action -- Action Items",name,yes
action,risk-incident-service,action_items_legacy,19,"Action -- Action Items Legacy",name,no
action,risk-incident-service,action_sla_escalation_log,8,"Action -- Action Sla Escalation: Activity/audit log records",pattern,no
action,risk-incident-service,action_sla_tracking,18,"Action -- Action Sla Tracking",name,no
action,risk-incident-service,comments,9,"Action -- Comments",name,no
action,risk-incident-service,messages,8,"Action -- Messages",name,no
agrc-engine,ai-gateway-service,activity_stream,9,"Agrc Engine -- Activity Stream",name,no
agrc-engine,ai-gateway-service,agent_handoffs,10,"Agrc Engine -- AI agent record (Agent Handoffs)",token,no
agrc-engine,ai-gateway-service,agrc_engine_dedup,6,"Agrc Engine -- Agrc Engine Dedup",name,no
agrc-engine,ai-gateway-service,agrc_engine_runs,16,"Agrc Engine -- Agrc Engine: Execution run records",pattern,no
agrc-engine,ai-gateway-service,assessment_items,7,"Agrc Engine -- Assessment Items",name,no
agrc-engine,ai-gateway-service,bcp_plans,18,"Agrc Engine -- Bcp Plans",name,no
agrc-engine,ai-gateway-service,channels,5,"Agrc Engine -- Channels",name,no
agrc-engine,ai-gateway-service,controls,53,"Agrc Engine -- Control record (Controls)",token,no
agrc-engine,ai-gateway-service,drawer_templates,9,"Agrc Engine -- Drawer: Template catalog",pattern,yes
agrc-engine,ai-gateway-service,evidence,63,"Agrc Engine -- Evidence",name,no
agrc-engine,ai-gateway-service,evidence_team_distribution,7,"Agrc Engine -- Team record (Evidence Team Distribution)",token,yes
agrc-engine,ai-gateway-service,framework_requirements,16,"Agrc Engine -- Framework definition (Framework Requirements)",token,no
agrc-engine,ai-gateway-service,gate_definitions,22,"Agrc Engine -- Gate: Definition catalog",pattern,yes
agrc-engine,ai-gateway-service,gate_validation_rules,12,"Agrc Engine -- Gate Validation: Rules/policy definitions",pattern,no
agrc-engine,ai-gateway-service,grc_raci_assignments,15,"Agrc Engine -- Grc Raci: Assignment mapping (X to Y)",pattern,no
agrc-engine,ai-gateway-service,member_agent_shadows,18,"Agrc Engine -- AI agent record (Member Agent Shadows)",token,no
agrc-engine,ai-gateway-service,mode_operation_log,14,"Agrc Engine -- Mode Operation: Activity/audit log records",pattern,no
agrc-engine,ai-gateway-service,notifications,10,"Agrc Engine -- Notifications",name,yes
agrc-engine,ai-gateway-service,policies,47,"Agrc Engine -- Policies",name,yes
agrc-engine,ai-gateway-service,raci_matrix,20,"Agrc Engine -- RACI/permission matrix (Raci Matrix)",token,yes
auth,auth-service,actor_access_assignments,9,"Auth -- Actor Access: Assignment mapping (X to Y)",pattern,no
auth,auth-service,actor_role_assignments,11,"Auth -- Actor Role: Assignment mapping (X to Y)",pattern,no
auth,auth-service,ai_governance_roles,9,"Auth -- Ai Governance: Role definitions",pattern,no
auth,auth-service,approval_authority_matrix,12,"Auth -- RACI/permission matrix (Approval Authority Matrix)",token,no
auth,auth-service,approval_chains,22,"Approval chain configuration",registry,no
auth,auth-service,archetype_bundle_map,4,"Auth -- Archetype Bundle Map",name,yes
auth,auth-service,archetype_policy_pack_map,6,"Auth -- Policy record (Archetype Policy Pack Map)",token,yes
auth,auth-service,authentication_policies,16,"Auth -- Authentication Policies",name,no
auth,auth-service,authority_level_catalog,9,"Auth -- Authority Level Catalog",name,yes
auth,auth-service,authority_levels,15,"Auth -- Authority Levels",name,no
auth,auth-service,authorization_decision_log,14,"Auth -- Authorization Decision: Activity/audit log records",pattern,no
auth,auth-service,authorization_mismatch_log,8,"Authorization mismatch logging",registry,no
auth,auth-service,authorization_permissions,6,"Auth -- Authorization: Permission grants",pattern,yes
auth,auth-service,conditional_access_grants,20,"Auth -- Conditional Access Grants",name,no
auth,auth-service,dashboard_role_bindings,8,"Auth -- Role record (Dashboard Role Bindings)",token,yes
auth,auth-service,decision_authorities,14,"Auth -- Decision record (Decision Authorities)",token,yes
auth,auth-service,defense_lines,6,"Auth -- Defense Lines",name,yes
auth,auth-service,delegated_authorities,18,"Auth -- Delegated Authorities",name,no
auth,auth-service,dogan_guardian_config,6,"Auth -- Dogan Guardian: Configuration values",pattern,yes
auth,auth-service,dogan_guardian_events,7,"Auth -- Dogan Guardian: Domain event records",pattern,no
auth,auth-service,external_user_scopes,7,"Auth -- User record (External User Scopes)",token,no
auth,auth-service,field_rbac_permissions,17,"Auth -- Field Rbac: Permission grants",pattern,no
auth,auth-service,field_rbac_role_mappings,7,"Auth -- Field Rbac Role: Cross-entity mapping",pattern,yes
auth,auth-service,function_authorities,9,"Function authorities",registry,yes
auth,auth-service,functional_role_bundle_items,5,"Auth -- Role record (Functional Role Bundle Items)",token,yes
auth,auth-service,functional_role_bundles,7,"Auth -- Role record (Functional Role Bundles)",token,yes
auth,auth-service,guard_decision_log,11,"Auth -- Guard Decision: Activity/audit log records",pattern,no
auth,auth-service,iam_access_reviews,9,"Auth -- Iam Access Reviews",name,no
auth,auth-service,iam_connections,13,"Auth -- Iam Connections",name,no
auth,auth-service,iam_sync_history,11,"Auth -- Iam Sync: Historical change records",pattern,no
auth,auth-service,module_permission_definitions,12,"Auth -- Module Permission: Definition catalog",pattern,no
auth,auth-service,module_permissions,13,"Auth -- Module: Permission grants",pattern,no
auth,auth-service,module_role_definitions,17,"Auth -- Module Role: Definition catalog",pattern,no
auth,auth-service,module_role_permission_bindings,6,"Auth -- Role record (Module Role Permission Bindings)",token,no
auth,auth-service,module_roles,11,"Auth -- Module: Role definitions",pattern,no
auth,auth-service,module_sod_policies,8,"Auth -- Module Sod Policies",name,yes
auth,auth-service,module_sod_rules,19,"Auth -- Module Sod: Rules/policy definitions",pattern,no
auth,auth-service,object_scopes,3,"Auth -- Object Scopes",name,no
auth,auth-service,permission_analytics,18,"Auth -- Permission Analytics",name,no
auth,auth-service,permission_templates,15,"Auth -- Permission: Template catalog",pattern,yes
auth,auth-service,permissions_legacy,12,"Auth -- Permissions Legacy",name,no
auth,auth-service,platform_role_tenant_role_map,6,"Auth -- Role record (Platform Role Tenant Role Map)",token,yes
auth,auth-service,policy_decision_log,11,"Auth -- Policy Decision: Activity/audit log records",pattern,yes
auth,auth-service,product_user_entitlements,11,"Auth -- User record (Product User Entitlements)",token,yes
auth,auth-service,rbac_config_audit,8,"Auth -- Rbac Config: Audit-trail entries",pattern,no
auth,auth-service,role_action_map,8,"Auth -- Role record (Role Action Map)",token,no
auth,auth-service,role_assignment_audit,10,"Auth -- Role Assignment: Audit-trail entries",pattern,no
auth,auth-service,role_assignment_history,11,"Auth -- Role Assignment: Historical change records",pattern,no
auth,auth-service,role_defense_line_mappings,3,"Auth -- Role Defense Line: Cross-entity mapping",pattern,yes
auth,auth-service,role_function_map,10,"Role to function mappings",registry,yes
auth,auth-service,role_function_permissions,14,"Auth -- Role Function: Permission grants",pattern,yes
auth,auth-service,role_function_scope_map,7,"Auth -- Role record (Role Function Scope Map)",token,yes
auth,auth-service,role_functions,12,"Role function mappings",registry,yes
auth,auth-service,role_learning_states,7,"Auth -- Role Learning: State-machine state catalog",pattern,no
auth,auth-service,role_nav_sections,8,"Auth -- Role record (Role Nav Sections)",token,yes
auth,auth-service,role_permission_inheritance,10,"Auth -- Role record (Role Permission Inheritance)",token,yes
auth,auth-service,role_permission_map,8,"Auth -- Role record (Role Permission Map)",token,yes
auth,auth-service,role_permissions_legacy,8,"Auth -- Role record (Role Permissions Legacy)",token,no
auth,auth-service,role_profile_assignments,12,"Auth -- Role Profile: Assignment mapping (X to Y)",pattern,no
auth,auth-service,role_profile_mappings,8,"Auth -- Role Profile: Cross-entity mapping",pattern,no
auth,auth-service,role_sla_defaults,8,"Auth -- Role record (Role Sla Defaults)",token,no
